0,1,2,3,4,5
C,-17.81,-17.55,1.225025569492425,1.295223652595313,0.9745052320121201
C#C,54.56,56.13,1.2117786501956413,1.20771829586195,0.49019593498036335
C#CC#C,110.0143403,112.5443,1.6304229306057854,1.6247884865794517,0.5313527489358193
C#CCC,39.62,42.22,1.1460264237411792,1.142615599643933,0.5410481327421097
C/C=C/C,-2.7,-0.42,1.0514919080259455,1.0493404938765776,0.5181542913862234
C/C=C\C,-1.75,0.75,1.0514647913584096,1.0490990054927116,0.5110144785177023
C1=C=C1,118.5755258,120.4165,1.2661064463155425,1.2317001309868099,0.7477395868721352
C1=CC1CC2C=C2,50.79,60.35,1.3203850793197884,1.2735119165540538,0.8192146684634167
C1=CC=CC=C1,19.86,22.1,2.137851952624128,2.1919272264504936,0.3472050642405616
C1=[C]C1,125.13,126.83,1.2067916134058236,1.0271606366857287,0.6577389106413993
C1C=C1,67.83,69.63,1.1299470163649579,1.1227597784082006,0.5787269743059913
C1C=CC=C1,31.73,35.02,1.4713598712423306,1.48010608879324,1.2640009078400776
C1CC1,12.82,14.63,1.004269268463695,1.024242831748412,0.6979840412863186
C1CC=C1,38.18,41.04,1.1424487278229714,1.1379404983731296,0.6791978843574656
C1CC=CC1,8.09,11.22,1.1808402341323097,1.1749186681516586,0.937670878242957
C1CCC1,6.6,9.75,1.033029995941168,1.0281741760828824,0.598112603649042
C1CCCC1,-18.54,-15.44,1.009574804039042,1.0049425406383379,0.7412558805898561
C1CCCCC1,-29.43,-26.28,1.0143621827827642,0.9989218332774183,0.8234035684645227
C1[C]=CC=C1,80.56,85.33,1.5323470508004724,1.5721698228168166,1.6295119112465792
C=C,12.54,13.55,1.1020996730838408,1.1304610861886275,0.6496795768028155
C=C=C,45.38,46.84,1.126956720738048,1.1206704293393157,0.5338131675142265
C=CC=C,26.43,28.97,1.1463316497729006,1.14312176376166,0.4790510965386775
C=CCCC=C,20.03,23.96,1.409568840776075,1.4034986401545884,0.6802905919672192
CC,-20.05,-19.28,1.1353094309008285,1.195831643705104,0.8586906893062367
CC#C,44.39,46.09,1.129817253087688,1.1229252646142889,0.5185356282102552
CC#CC,34.89,37.27,1.1461941002835554,1.1434259505167554,0.5417545627950505
CC#[C],125.87,128.44,1.1867627099706972,1.0081683686012823,0.4524778586272918
CC(C)=C,-4.1,-1.83,1.0514191451613535,1.0492701312825865,0.5182196346308364
CC(C)C,-32.21,-30.17,0.9236171979919608,0.9176735434932062,0.5654835722444659
CC(C)CC(C)(C)C,-53.47,-49.63,1.1754931406670537,1.1754931406670537,0.4396834268682589
CC1=CC=CC=C1,12.01,14.4,2.376459989567036,2.406413656601643,0.34720506424056197
CC1CC1,5.81,8.08,1.0514191451613535,1.0492701312825865,0.6252031061235989
CC=C,4.78,6.45,1.0043032073770513,1.024437702146661,0.5941673029311457
CCC,-25.1,-23.68,0.8876311594576811,0.905295922461362,0.617788808851593
CCC(C)C,-36.63,-34.08,0.9320523469249273,0.9268855615430548,0.508829861085392
CCC=C,-0.02,2.38,1.0518631017375129,1.0496331075587908,0.5156211148961443
CCCC,-30.1,-27.91,0.9256268314744908,0.9195251242355437,0.5674808005598878
CCCCC,-34.98,-32.14,0.9399723718926759,0.9348887802312819,0.5158520096862979
CCCCCC,-39.9,-36.38,0.9126368555082764,0.9108377171154781,0.4767542245227027
CCCCCCCC,-49.78,-45.5,1.2445833830972752,1.2445833830972752,0.573015284919613
C[CH]C,21.2,22.61,0.9048871396822454,0.8639535067007938,0.5286108783926889
C[C]=C,60.36,61.78,1.0585244464080683,0.9174155697986486,0.5991215485593226
[CH2],93.58,94.75,1.2822026517299536,1.3234860321879591,0.717098373262031
[CH2]C,28.65,29.94,1.075233558133474,0.9526365409328094,0.5887015891551399
[CH2]C#C,84.0,85.37,1.2028790307798778,1.0176255707963402,0.4984035355434966
[CH2]C=C,40.11,41.46,1.0565639892898804,0.914729554263657,0.5945771680861708
[CH2]CC,24.09,25.87,0.9079130938682245,0.8717332233896855,0.5347337354395355
[CH2]CCC,18.7,21.45,0.832492850690182,0.8532076577779937,0.5316268421359616
[CH3],34.98,35.67,1.206246315883507,1.0864959705868384,0.8688473227121667
[CH],142.48,142.48,1.228443019210527,0.9343952656420336,0.6361282392259215
[CH]1C=C1,116.26,118.37,1.2028732903442907,1.0262119428106922,0.6903619150198488
[CH]1CC1,69.36,71.72,1.0527632868943302,0.9119759705020994,0.6538078774533758
[CH]=C,70.96,71.98,1.1320981079949641,0.9494799583319562,0.5442720794628019
[CH]=C=[CH],130.5879541,132.0493,1.2617590788888817,1.2276589423696482,0.8352845199667344
[CH]=CC,64.34,66.0,1.0627200830947254,0.9233446660994027,0.6072230403988162
[CH]C,84.71558317,86.1378,1.1007648492485091,1.1286342234068942,0.752740471841484
[C],171.34,171.22,1.3610566565057367,1.3556929140802318,1.0631629866410015
[C]#C,135.75,137.01,1.2313204420211699,0.8989095229804508,0.5889712085495742
[C]=C,98.51816444,99.9501,1.2134852165237127,1.2099087087204043,0.724645769779011
[C]=C=C,132.7891969,134.2872,1.262520282986081,1.2284569095382774,0.8360195511984604
[C]=C=[CH],172.6338432,174.1532,1.341048691250394,1.0668575241462095,0.9158308469695068
[C]=C=[C],196.8164436,198.1966,1.5151793149152482,1.491140735284406,0.9954761416226434
[C]=[C],198.0592734,197.3527,1.2469174214685776,1.2209648134570188,0.5378175192209731
