0,1,2,3,4,5,6,7
C,-17.81070746,-18.034672630198564,-17.991332375137887,-17.796694460740742,0,0,0
C#C,54.56022945,55.052429160628826,55.06290140340092,54.99154676982292,55.04354046708334,55.74581263,0
C#CC#C,110.0143403,110.1120779583909,110.30508655794291,109.74633844750001,109.96979606666666,0,0
C#CCC,39.61998088,39.76815108991218,39.786909441615784,39.75617452583871,40.02249874402632,40.02520479173683,40.32727852366667
C/C=C/C,-2.700764818,-2.816402691775822,-2.7864876481619065,-2.607378793450706,-2.5526715283953476,-2.5904894840666643,-2.81791586375
C1=CC1CC2C=C2,50.78871893,56.02781401375806,56.11288029402118,55.01188336440001,57.180913956199994,0,0
C1=CC=CC=C1,19.86376673,17.064529024102633,16.981819371449276,0,15.430592735714285,0,0
C1=[C]C1,125.126673,125.03566780152268,124.99846868877937,124.60408087621093,124.94281071809301,124.40244742080002,123.55826004000001
C1C=C1,67.83460803,67.8624713764554,67.89189570303506,67.64289612318831,67.6654496023768,67.5976298901739,67.4397844591818
C1C=CC=C1,31.73040153,31.846976108132296,31.93323446182849,31.509101535925527,31.50144072120001,30.631295421250005,30.161988570000013
C1CC1,12.82265774,12.878158407174714,12.907601386712107,12.6772893143875,12.533855693347224,12.605811252607145,12.366551364272727
C1CC=C1,38.17877629,38.60153395558024,38.621959197363715,38.48985664049214,38.574275155287864,38.534608028827584,38.566346797875
C1CC=CC1,8.090344168,8.100294040434092,8.131386985458288,8.010289163302469,8.022017037035088,7.855085086150003,7.833772467000005
C1CCC1,6.603728489,7.382107706157555,7.404919232402247,7.266415926039108,7.291225755464285,7.387472041212121,7.456155589499999
C1CCCC1,-18.54206501,-18.485134341499514,-18.47721373320526,-18.562230574317645,-18.638828762093024,-18.60414667432258,-18.5093785879375
C1CCCCC1,-29.43355641,-30.027996207639394,-30.01579359011574,-30.14196645516364,-30.25529978282143,-30.285859551454553,-30.359010949818185
C1[C]=CC=C1,80.56405354,82.37881555454608,82.31512674968101,82.12512653932205,82.34052898973331,82.03787282875,82.13246649999999
C=C,12.53585086,12.448804182956817,12.458850418457926,12.528906214173913,12.224255895416666,12.744569786999994,0
C=C=C,45.37762906,45.0566933696361,45.07824773200687,45.11754957571901,44.70188650833336,44.47748563000002,43.19808794000002
C=CC=C,26.42686424,26.515630941051423,26.532230139545213,26.703946020507694,26.382716738114283,25.67743788,0
C=CCCC=C,20.02629063,20.16943643282284,20.19420589077039,20.422519434799998,20.13616634755,20.901376671000005,0
CC,-20.05497132,-20.32843537617319,-20.294693773783486,-20.26595731111798,-20.277274847084747,-20.286588593250006,0
CC#C,44.39292543,44.31856200928303,44.34389467233762,44.17154038253425,44.207857017215694,44.31569364894445,44.39464151625001
CC#CC,34.89483748,34.808189088646365,34.821983868903345,34.78545285372,34.38158005931818,34.26003822999999,34.10305450375
CC#[C],125.8699809,126.69475613807693,126.6822382780298,126.60244406112,126.72732129409678,126.780172115,126.66176387625
CC(C)=C,-4.098948375,-4.226771659971979,-4.196886644938529,-4.017933556032865,-3.9302259052592627,-3.8861950315000016,-3.6986233433333378
CC(C)C,-32.21319312,-32.50960583137553,-32.48222479233112,-32.38603964174179,-32.199248750870964,-32.04859571005556,-31.92863288800001
CC1CC1,5.807839388,5.683328642064049,5.7132218202069245,5.508711215287293,5.505096758212122,5.417665054411767,4.978814536250001
CC=C,4.777724665,4.694033493982244,4.722294025585404,4.872169264934156,4.789811027610391,4.880372394809523,4.726008610249991
CCC,-25.10277247,-25.40464276704705,-25.376202821819675,-25.29372313075362,-25.280711279523075,-25.256015072235297,-25.30938293145454
CCC(C)C,-36.63240918,-37.08192486539221,-37.07341523666952,-36.959583357916166,-36.75054561882143,-36.72971656947058,-36.850038244
CCC=C,-0.019120459,-0.0127070392546049,0.017508776079652115,0.19817780941314397,0.1587804301833323,0.12281161933333194,0.3934082187499972
CCCC,-30.10038241,-30.23602932419641,-30.20615856812417,-30.120694470051887,-30.166172987347224,-30.20811615815,-30.139076596294117
CCCCC,-34.97609943,-35.1119381352114,-35.10499404132953,-35.004800495095814,-35.0041132485965,-35.04920895951428,-35.09561466594118
CCCCCC,-39.89722753,-39.923962264864706,-39.91150102169593,-39.70149008658824,-39.773235860029416,-39.7497396004762,-39.78005910218182
C[C]=C,60.36328872,60.01045558519986,60.01346082584632,60.00804043014563,60.00574264412001,60.076166336,59.9296080325
[CH2],93.57552581,94.29777433537028,94.31613941791657,94.28898887415454,94.15028267544595,93.89553536962501,93.74359464
[CH2]C#C,83.99617591,83.55910397249144,83.5114367374715,83.35865653054398,83.38148232245001,83.37255171054545,83.28887826633333
[CH2]C=C,40.11472275,39.688851527639976,39.69022143880044,39.68457275878641,39.54484889540278,39.58348310900001,39.637227534333334
[CH2]CC,24.09416826,24.15477590904192,24.21231257865581,24.16105497007175,24.10592131952055,24.013880742185187,23.937990611
[CH2]CCC,18.70219885,19.115169908863503,19.11807301947743,19.242125229545977,19.13085781183333,19.1548030576,19.15094385518182
