0,1,2,3,4,5,6,7
C,-17.81,-17.809999999999995,-17.809999999999995,-17.81,0,0,0
C#C,54.56,54.56,54.56000000000001,54.56,54.56,54.56,0
C#CC#C,110.0143403,110.01434029999999,110.01434029999997,110.0143403,110.0143403,0,0
C#CCC,39.62,39.62,39.62,39.62,39.62,39.62,0
C/C=C/C,-2.7,-2.6999999999999997,-2.6999999999999997,-2.699999999999999,-2.700000000000001,-2.7000000000000006,0
C/C=C\C,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,0
C1=C=C1,118.5755258,118.5755258,118.5755258,118.57552580000001,0,0,0
C1=CC1CC2C=C2,50.79,50.78999999999999,50.79,50.79,50.79,0,0
C1=CC=CC=C1,19.86,19.859999999999985,19.86,19.860000000000003,19.86,19.86,0
C1=[C]C1,125.13,125.13000000000002,125.13000000000001,125.13000000000001,125.13,125.13,125.13
C1C=C1,67.83,67.83000000000001,67.83000000000001,67.83,67.82999999999998,67.82999999999998,67.83000000000001
C1C=CC=C1,31.73,31.730000000000008,31.73,31.730000000000004,31.730000000000004,31.73,31.73
C1CC1,12.82,12.819999999999995,12.819999999999995,12.819999999999999,12.820000000000002,12.82,12.819999999999997
C1CC=C1,38.18,38.18,38.18,38.18,38.18,38.18000000000001,38.18
C1CC=CC1,8.09,8.090000000000002,8.090000000000002,8.090000000000003,8.09,8.09,8.090000000000002
C1CCC1,6.6,6.6,6.599999999999999,6.6,6.600000000000002,6.6,6.599999999999999
C1CCCC1,-18.54,-18.539999999999996,-18.54,-18.539999999999996,-18.539999999999996,-18.539999999999992,-18.540000000000003
C1CCCCC1,-29.43,-29.43,-29.43,-29.429999999999996,-29.42999999999999,-29.42999999999999,-29.430000000000003
C1[C]=CC=C1,80.56,80.56,80.55999999999999,80.56,80.56,80.56,80.56
C=C,12.54,12.539999999999997,12.539999999999996,12.539999999999997,12.54,12.54,0
C=C=C,45.38,45.38000000000001,45.38,45.38,45.38,0,0
C=CC=C,26.43,26.43,26.430000000000003,26.429999999999993,26.43,26.43,0
C=CCCC=C,20.03,20.03,20.029999999999998,20.029999999999998,20.03,0,0
CC,-20.05,-20.05,-20.05,-20.05,-20.049999999999997,-20.050000000000004,0
CC#C,44.39,44.39,44.39,44.389999999999986,44.39000000000001,44.38999999999999,0
CC#CC,34.89,34.889999999999986,34.88999999999999,34.889999999999986,34.88999999999999,34.89,0
CC#[C],125.87,125.86999999999998,125.86999999999999,125.86999999999998,125.87,125.87,0
CC(C)=C,-4.1,-4.1000000000000005,-4.1000000000000005,-4.100000000000002,-4.1000000000000005,-4.1,0
CC(C)C,-32.21,-32.21,-32.209999999999994,-32.209999999999994,-32.21000000000001,-32.21000000000001,0
CC(C)CC(C)(C)C,-53.47,-53.470000000000006,-53.47000000000001,-53.470000000000006,0,0,0
CC1=CC=CC=C1,12.01,12.009999999999998,12.01,12.009999999999998,12.01,12.01,0
CC1CC1,5.81,5.81,5.810000000000001,5.8100000000000005,5.8100000000000005,5.81,0
CC=C,4.78,4.78,4.78,4.78,4.78,4.78,0
CCC,-25.1,-25.099999999999994,-25.099999999999998,-25.09999999999999,-25.09999999999999,-25.100000000000005,-25.100000000000005
CCC(C)C,-36.63,-36.63,-36.63,-36.63,-36.63,-36.63,0
CCC=C,-0.02,-0.02,-0.019999999999999997,-0.019999999999999997,-0.02,-0.019999999999999997,0
CCCC,-30.1,-30.099999999999994,-30.1,-30.100000000000005,-30.09999999999999,-30.099999999999998,-30.1
CCCCC,-34.98,-34.980000000000004,-34.980000000000004,-34.980000000000004,-34.98,-34.98,-34.98
CCCCCC,-39.9,-39.9,-39.89999999999999,-39.9,-39.9,-39.900000000000006,-39.89999999999999
CCCCCCCC,-49.78,-49.779999999999994,-49.78,-49.78,-49.78,-49.78000000000001,-49.78
C[CH]C,21.2,21.2,21.199999999999996,21.199999999999996,21.199999999999996,21.2,0
C[C]=C,60.36,60.35999999999999,60.36,60.35999999999998,60.36,60.35999999999999,0
[CH2],93.58,93.58,93.58000000000001,0,0,0,0
[CH2]C,28.65,28.65,28.649999999999995,28.650000000000006,28.649999999999995,28.649999999999995,0
[CH2]C#C,84.0,84.0,84.0,84.0,84.0,0,0
[CH2]C=C,40.11,40.110000000000014,40.11000000000001,40.11000000000001,40.11,0,0
[CH2]CC,24.09,24.09,24.089999999999993,24.09,24.09,24.09,24.09
[CH2]CCC,18.7,18.7,18.699999999999992,18.700000000000003,18.699999999999996,18.7,18.7
[CH3],34.98,34.980000000000004,34.980000000000004,0,0,0,0
[CH],142.48,142.48,142.48,0,0,0,0
[CH]1C=C1,116.26,116.26,116.26000000000003,116.26000000000003,116.26000000000002,0,0
[CH]1CC1,69.36,69.36,69.36,69.36000000000001,69.36,69.36,0
[CH]=C,70.96,70.96000000000001,70.96000000000001,70.96,70.96,70.96,0
[CH]=C=[CH],130.5879541,130.58795409999996,130.58795409999996,130.5879541,130.5879541,0,0
[CH]=CC,64.34,64.34000000000003,64.34000000000002,64.34,64.34000000000002,64.34,0
[CH]C,84.71558317,84.71558316999999,84.71558316999997,0,0,0,0
[C],171.34,171.33999999999995,171.33999999999995,171.34,171.34,0,0
[C]#C,135.75,135.75,135.75,135.75,135.75,135.75,0
[C]=C,98.51816444,98.51816443999998,98.51816443999998,98.51816444,98.51816444,0,0
[C]=C=C,132.7891969,132.78919689999998,132.7891969,132.7891969,132.7891969,0,0
[C]=C=[CH],172.6338432,172.63384320000006,172.6338432,172.6338432,172.6338432,0,0
[C]=C=[C],196.8164436,196.81644359999999,196.81644359999999,196.8164436,196.8164436,0,0
[C]=[C],198.0592734,198.05927339999997,198.05927339999997,0,0,0,0
[C]C,120.6692161,120.66921609999999,120.66921609999997,120.6692161,120.6692161,0,0
[HH],-0.01,-0.009999999999999998,-0.009999999999999998,0,0,0,0
[H],52.1,52.100000000000016,52.100000000000016,0,0,0,0
