0,1,2,3,4,5,6,7
C,-17.81,-18.058386138236916,-18.049958941710408,-17.793367569361706,0,0,0
C#C,54.56,55.029986489029284,55.056195322602264,55.03325960714285,55.140010075,55.74,0
C#CC#C,110.0143403,110.21362417407973,110.36598076124119,109.8643,110.0368,0,0
C#CCC,39.62,39.76870983043655,39.797700413130656,39.7643740474359,39.96600403,39.895384615384614,0
C/C=C/C,-2.7,-2.8054128862728387,-2.7844954762316916,-2.644887522781457,-2.5017857142857136,-2.585714285714283,0
C/C=C\C,-1.75,-1.6279460391834253,-1.6077577931424771,-1.4613867729333336,-1.3317857142857144,-1.4157142857142837,0
C1=C=C1,118.5755258,118.68268165477183,118.73911746951961,118.27301685393257,0,0,0
C1=CC1CC2C=C2,50.79,56.4594601827619,56.532362479458136,55.54983763333333,55.21000000000001,0,0
C1=CC=CC=C1,19.86,18.203537614416515,18.245148892220076,20.382142857142856,20.39,20.31,0
C1=[C]C1,125.13,125.04098841089896,124.95042598731183,124.3555194740741,124.18,124.3425,123.55000000000001
C1C=C1,67.83,67.87110038330678,67.91739344214331,67.62623853557047,67.59305555555555,67.52214285714284,67.42499999999998
C1C=CC=C1,31.73,31.99165059995504,32.08964703961156,31.697422312619054,31.418333333333337,30.613333333333344,30.150000000000013
C1CC1,12.82,12.889973635906902,12.934802139105793,12.77787032096552,12.71575,12.6540625,12.532666666666668
C1CC=C1,38.18,38.60003111616638,38.63059782721396,38.47137791785714,38.459787234042544,38.50194444444443,38.575
C1CC=CC1,8.09,8.137991948438419,8.186602154733125,8.020946238911566,7.912307692307693,7.851153846153848,7.908181818181822
C1CCC1,6.6,7.391565318963414,7.412148997802929,7.382340696477988,7.423720930232559,7.4164102564102565,7.462777777777778
C1CCCC1,-18.54,-18.46856316828148,-18.451022420747663,-18.507740016455696,-18.583999999999996,-18.576315789473682,-18.470555555555556
C1CCCCC1,-29.43,-29.93407613661638,-29.927167173033958,-30.088478332743364,-30.25551724137931,-30.23535714285714,-30.283076923076926
C1[C]=CC=C1,80.56,82.47005754465802,82.40960517046652,82.115625,82.14333333333333,82.17666666666666,82.13999999999999
C=C,12.54,12.442623320764225,12.463317951287879,12.49113734611111,12.51050926533333,12.895,0
C=C=C,45.38,45.07102607332803,45.112869790220124,45.00528282508772,45.76393245999999,0,0
C=CC=C,26.43,26.516404824615833,26.545061344566626,26.604288657868846,26.416666666666668,25.68,0
C=CCCC=C,20.03,20.321539510954402,20.3486752493559,20.39284833220339,20.132857142857144,0,0
CC,-20.05,-20.330216614725426,-20.30950023758621,-20.183741233698633,-20.216251259375,-20.167727272727276,0
CC#C,44.39,44.32759847328912,44.373496521967326,44.17693365,44.262403223999996,44.11466666666667,0
CC#CC,34.89,34.808982812283055,34.83662449106796,34.78898943205128,34.995006716666666,34.26,0
CC#[C],125.87,126.69042328402227,126.62123243892471,126.54928571428572,126.79000000000002,126.775,0
CC(C)=C,-4.1,-4.215693032436055,-4.194801734553929,-4.0490534396,-4.078333333333334,-3.6499999999999986,0
CC(C)C,-32.21,-32.48211625679429,-32.45956539183657,-32.3281187372449,-32.155,-32.04,0
CC(C)CC(C)(C)C,-53.47,-54.23667623978022,-54.23667623978022,-54.19300112173914,0,0,0
CC1=CC=CC=C1,12.01,8.992571402992873,9.004210067139365,11.48785714285714,11.479999999999997,11.559999999999999,0
CC1CC1,5.81,5.694306967563946,5.715198265446072,5.607183463773586,5.518275862068964,5.705833333333331,0
CC=C,4.78,4.706228317554842,4.749512466561713,4.8143669098522155,4.759057407317072,4.688888888888888,0
CCC,-25.1,-25.389363633349685,-25.365865590574714,-25.260983267956988,-25.256415854716984,-25.221944444444443,-25.312307692307687
CCC(C)C,-36.63,-37.06390419250489,-37.063155073944955,-36.88084207898089,-36.8008,-36.749444444444435,0
CCC=C,-0.02,-0.0007492079829377941,0.019179623635152604,0.16527989373333316,0.01848484848484895,0.052857142857143,0
CCCC,-30.1,-30.20954375424174,-30.189007139409387,-30.055108533163263,-30.135172413793107,-30.10421052631579,-29.985625
CCCCC,-34.98,-35.095351684609376,-35.09341319210579,-34.90583674936708,-34.93068181818182,-34.923157894736846,-34.92111111111112
CCCCCC,-39.9,-39.80499126420535,-39.79865441726361,-39.577069550000004,-39.66172413793104,-39.70071428571429,-39.668
CCCCCCCC,-49.78,-49.958397851501836,-49.958397851501836,-49.8629372680851,-50.30142857142857,-50.28333333333333,-49.959999999999994
C[CH]C,21.2,20.88660105372659,20.87254060716073,20.788597420000002,20.79111111111111,20.594285714285718,0
C[C]=C,60.36,59.99820831378304,59.960524371521736,60.104987737,59.75575610799999,59.79333333333333,0
