SMILES,Expt'l data,All rxns,Isogyric,Isodesmic,Hypohomodesmotic,Homodesmotic,Hyperhomodesmotic
CCCCC,-34.97609943,-34.90979989,-34.76470532,-34.69778342,-34.93306676,-35.05951075,-35.08016252
CCCCCC,-39.89722753,-39.38220994,-39.43478562,-39.29804368,-39.52490781,-39.64693644,-39.57364333
C[CH]CC,16.491,15.85234342,15.90591893,15.8828652,15.91311451,15.98287013,16.25546845
C[C](C)C,12.31,11.80993811,12.02829474,12.00775087,12.00218409,11.98367444,12.19591876
C[C](C)CC,6.7,7.965159964,7.598536952,7.687080502,7.894166301,7.929848837,7.45544334
C[C]=C,60.36328872,60.04254185,59.99630181,60.01155847,59.9507979,60.05364173,60.11727755
[CH2],93.57552581,93.87277194,94.18356184,93.90145577,93.65588418,93.76052481,93.74359464
[CH2](C)CC,16.73,17.37022923,17.35887069,17.46347145,17.34264308,17.21202596,17.19445315
[CH2]C#C,83.99617591,83.44253351,83.59632978,83.3893176,83.24687137,82.96529416,82.81598763
[CH2]C1=CC=CC=C1,49.47,50.35550991,49.4615219,50.23841058,50.04265838,50.78705533,50.34359449
[CH2]C=C,40.11472275,39.72359012,39.67140883,39.68696393,39.48294795,39.44578791,39.64077757
[CH2]CC,24.09416826,23.84612322,24.08259625,24.06114951,23.86916749,23.80205279,23.95753801
[CH2]CCC,18.70219885,19.0850805,19.17864763,19.14662822,19.1118804,18.99759726,19.22314813
[CH3],34.98422562,34.92176559,34.83335897,34.73888377,34.75169237,34.82328618,0
[CH],142.4760994,141.5632924,141.6168336,141.8385288,142.0154052,142.055322,141.5490837
[CH]1CC1,69.35946463,69.90930109,69.98835121,69.52851574,69.73390088,70.22556636,69.93927533
[CH]=C,70.96319312,70.63337343,70.68072127,70.78530483,70.83272737,70.40161388,70.67837476
[CH]=CC,64.34273423,64.24637943,64.22929943,64.24438379,64.47524057,63.98909954,64.45576004
[CH]C,84.71558317,84.72842696,85.01347214,84.80846706,85.23272168,85.24386361,85.45726658
[CH]C[CH],130.5879541,130.1777311,130.4457146,131.3208546,130.9085076,130.8393126,0
[C],171.3398662,170.1288383,170.689837,171.0185337,170.7568288,170.8615954,170.2416159
[C]#C,135.7528681,135.4685711,135.7787206,135.4762143,135.5466359,134.8426769,135.1304095
[C]=C,98.51816444,98.54000091,98.92519183,98.79816602,98.7745798,98.44968356,98.56355658
[C]=C=C,132.7891969,132.8520156,132.8320158,132.5522813,133.3676418,133.3265583,133.8083556
[C]=C[C],196.8164436,196.5676264,196.427641,197.0106283,197.3519151,0,0
[C]=[C],198.0592734,195.8409069,196.3277641,196.6275982,196.7662206,195.8797323,195.6597992
[C]C,120.6692161,120.309728,120.3591716,120.8821521,120.7250123,120.5255856,121.3963885
[C]C[CH],172.6338432,172.1167204,172.385007,172.7248136,172.4758895,172.5668365,0
[HH],-0.013862333,-0.847608025,-1.240845807,0,0,0,0
