0,1,2,3,4,5,6,7
C,-17.81070746,-17.803356728072167,-17.99133237513789,-17.796694460740746,0,0,0
C#C,54.56022945,55.00864877581203,55.06290140340093,54.99154676982291,55.04354046708334,55.74581263,0
C#CC#C,110.0143403,109.94316495454545,110.30508655794294,109.7463384475,109.96979606666666,0,0
C#CCC,39.61998088,39.89059048971875,39.786909441615784,39.75617452583871,40.02249874402633,40.02520479173683,40.32727852366667
C/C=C/C,-2.700764818,-2.670664087455285,-2.7864876481619065,-2.6073787934507053,-2.5526715283953476,-2.590489484066664,-2.81791586375
C1=CC1CC2C=C2,50.78871893,55.04678058920834,56.11288029402119,55.0118833644,57.180913956199994,0,0
C1=CC=CC=C1,19.86376673,15.389126661199999,16.981819371449276,0,15.430592735714285,0,0
C1=[C]C1,125.126673,124.8124757782586,124.99846868877937,124.60408087621094,124.94281071809304,124.40244742079999,123.55826004000001
C1C=C1,67.83460803,67.45745137537594,67.89189570303508,67.64289612318831,67.6654496023768,67.5976298901739,67.43978445918182
C1C=CC=C1,31.73040153,31.676486736128215,31.93323446182849,31.509101535925534,31.501440721200005,30.63129542125001,30.161988570000013
C1CC1,12.82265774,12.591575957161973,12.907601386712109,12.6772893143875,12.533855693347224,12.605811252607145,12.366551364272727
C1CC=C1,38.17877629,38.46631369424603,38.621959197363715,38.48985664049214,38.57427515528787,38.53460802882759,38.566346797875
C1CC=CC1,8.090344168,7.826569514616161,8.131386985458288,8.010289163302469,8.022017037035088,7.855085086150003,7.833772467000005
C1CCC1,6.603728489,7.405371765862903,7.404919232402247,7.266415926039106,7.291225755464285,7.387472041212121,7.456155589499999
C1CCCC1,-18.54206501,-18.21382920378218,-18.477213733205257,-18.562230574317645,-18.638828762093024,-18.604146674322575,-18.509378587937498
C1CCCCC1,-29.43355641,-30.053897484852943,-30.01579359011575,-30.141966455163637,-30.25529978282143,-30.285859551454553,-30.35901094981818
C1[C]=CC=C1,80.56405354,82.07908571751666,82.31512674968101,82.12512653932204,82.34052898973336,82.03787282875001,82.13246649999999
C=C,12.53585086,12.425300276878788,12.458850418457928,12.528906214173913,12.224255895416663,12.744569786999994,0
C=C=C,45.37762906,44.95725171454412,45.07824773200687,45.11754957571901,44.70188650833335,44.47748563000002,43.19808794000002
C=CC=C,26.42686424,26.553992712740154,26.532230139545213,26.70394602050769,26.382716738114283,25.67743788,0
C=CCCC=C,20.02629063,20.25051425113433,20.19420589077039,20.4225194348,20.13616634755,20.901376671000005,0
CC,-20.05497132,-20.167797931277228,-20.294693773783486,-20.26595731111798,-20.277274847084747,-20.286588593250002,0
CC#C,44.39292543,44.18285601778261,44.34389467233762,44.171540382534246,44.207857017215694,44.315693648944446,44.39464151625001
CC#CC,34.89483748,34.79889878198438,34.821983868903345,34.78545285372,34.38158005931819,34.26003822999999,34.10305450375
CC#[C],125.8699809,126.6839968468261,126.6822382780298,126.60244406111998,126.72732129409675,126.780172115,126.66176387625
CC(C)=C,-4.098948375,-3.9831394579596786,-4.196886644938529,-4.017933556032865,-3.9302259052592623,-3.8861950315000016,-3.6986233433333378
CC(C)C,-32.21319312,-32.195047204812504,-32.48222479233112,-32.38603964174179,-32.19924875087097,-32.04859571005556,-31.92863288800001
CC1CC1,5.807839388,5.546155374229507,5.7132218202069245,5.508711215287294,5.505096758212122,5.417665054411767,4.978814536250001
CC=C,4.777724665,4.757863390106383,4.722294025585404,4.872169264934155,4.789811027610389,4.880372394809523,4.726008610249991
CCC,-25.10277247,-25.23983613698,-25.376202821819675,-25.293723130753627,-25.280711279523075,-25.256015072235297,-25.30938293145454
CCC(C)C,-36.63240918,-36.8210047430411,-37.07341523666952,-36.959583357916166,-36.75054561882143,-36.72971656947058,-36.850038244
CCC=C,-0.019120459,0.21028209942063378,0.017508776079652108,0.19817780941314397,0.1587804301833323,0.12281161933333194,0.3934082187499972
CCCC,-30.10038241,-29.93591229341489,-30.20615856812417,-30.120694470051887,-30.16617298734722,-30.208116158150006,-30.139076596294117
CCCCC,-34.97609943,-34.97644436295946,-35.104994041329526,-35.00480049509581,-35.0041132485965,-35.04920895951428,-35.09561466594117
